city,library_id,source_record_id,branch_code,source_name,name,address,postal_code,website,phone,latitude,longitude,physical_branch,service_tier,square_footage,ward_no,ward_name,neighbourhood_name,present_site_year,public_washroom,digital_innovation_hub,kids_stop,hours,notes
toronto,toronto_tpl_ce,21,CE,Centennial,Centennial,"578 Finch Avenue West, Toronto, ON, M2R 1N7",M2R 1N7,https://www.tpl.ca/centennial,416-395-5490,43.7730100,-79.4496300,true,NL,10601,6,York Centre,Westminster-Branson,1966,false,false,false,Closed,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_ced,22,CED,Cedarbrae,Cedarbrae,"545 Markham Road, Toronto, ON, M1H 2A1",M1H 2A1,https://www.tpl.ca/cedarbrae,416-396-8850,43.7575400,-79.2240900,true,DL,31506,24,Scarborough-Guildwood,Golfdale-Cedarbrae-Woburn,1966,true,false,true,Mon 9 a.m. to 8:30 p.m.; Tue 9 a.m. to 8:30 p.m.; Wed 9 a.m. to 8:30 p.m.; Thu 9 a.m. to 8:30 p.m.; Fri 9 a.m. to 8:30 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_ch,23,CH,City Hall,City Hall,"Nathan Phillips Square, 100 Queen Street West, Toronto, ON, M5H 2N3",M5H 2N3,https://www.tpl.ca/cityhall,416-393-7650,43.6533700,-79.3838300,true,NL,5074,10,Spadina-Fort York,Yonge-Bay Corridor,1965,false,false,false,Mon 9 a.m. to 8:30 p.m.; Tue 9 a.m. to 8:30 p.m.; Wed 9 a.m. to 8:30 p.m.; Thu 9 a.m. to 8:30 p.m.; Fri 9 a.m. to 5 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_cl,24,CL,North York Central Library,North York Central Library,"5120 Yonge Street, Toronto, ON, M2N 5N9",M2N 5N9,https://www.tpl.ca/northyorkcentral,416-395-5535,43.7681700,-79.4145100,true,RR,168022,18,Willowdale,Willowdale West,1987,true,true,true,Mon 9 a.m. to 8:30 p.m.; Tue 9 a.m. to 8:30 p.m.; Wed 9 a.m. to 8:30 p.m.; Thu 9 a.m. to 8:30 p.m.; Fri 9 a.m. to 8:30 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_cs,25,CS,College/Shaw,College/Shaw,"766 College Street, Toronto, ON, M6G 1C4",M6G 1C4,https://www.tpl.ca/collegeshaw,416-393-7668,43.6551300,-79.4201900,true,NL,7664,11,University-Rosedale,Palmerston-Little Italy,1984,true,false,false,Mon 10 a.m. to 8:30 p.m.; Tue 12:30 p.m. to 8:30 p.m.; Wed 10 a.m. to 6 p.m.; Thu 12:30 p.m. to 8:30 p.m.; Fri 10 a.m. to 6 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_da,26,DA,Danforth/Coxwell,Danforth/Coxwell,"1675 Danforth Avenue, Toronto, ON, M4C 5P2",M4C 5P2,https://www.tpl.ca/danforthcoxwell,416-393-7783,43.6836800,-79.3214300,true,NL,12056,19,Beaches-East York,Woodbine Corridor,1989,true,false,false,Mon 9 a.m. to 8:30 p.m.; Tue 9 a.m. to 8:30 p.m.; Wed 9 a.m. to 8:30 p.m.; Thu 9 a.m. to 8:30 p.m.; Fri 9 a.m. to 5 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_dgh,27,DGH,Daniel G. Hill (formely Jane/Dundas),Daniel G. Hill (formely Jane/Dundas),"620 Jane Street, Toronto, ON, M6S 4A6",M6S 4A6,https://www.tpl.ca.ca/danielghill/,416-394-1014,43.6654800,-79.4914500,true,NL,11955,4,Parkdale-High Park,Runnymede-Bloor West Village,1975,true,false,false,Mon 9 a.m. to 8:30 p.m.; Tue 9 a.m. to 8:30 p.m.; Wed 9 a.m. to 8:30 p.m.; Thu 9 a.m. to 8:30 p.m.; Fri 9 a.m. to 8:30 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_dm,28,DM,Don Mills,Don Mills,"888 Lawrence Avenue East, Toronto, ON, M3C 1P6",M3C 1P6,https://www.tpl.ca/donmills,416-395-5710,43.7367100,-79.3472900,true,DL,21563,16,Don Valley East,Banbury-Don Mills,1961,true,false,false,Mon 9 a.m. to 8:30 p.m.; Tue 9 a.m. to 8:30 p.m.; Wed 9 a.m. to 8:30 p.m.; Thu 9 a.m. to 8:30 p.m.; Fri 9 a.m. to 8:30 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_do,29,DO,Downsview,Downsview,"2793 Keele Street, Toronto, ON, M3M 2G3",M3M 2G3,https://www.tpl.ca/downsview,416-395-5720,43.7288500,-79.4820200,true,NL,20016,6,York Centre,Downsview,1962,true,true,true,Mon 9 a.m. to 8:30 p.m.; Tue 9 a.m. to 8:30 p.m.; Wed 9 a.m. to 8:30 p.m; Thu 9 a.m. to 8:30 p.m.; Fri 9 a.m. to 8:30 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_dp,30,DP,Deer Park,Deer Park,"40 St. Clair Avenue East, Toronto, ON, M4T 1M9",M4T 1M9,https://www.tpl.ca/deerpark,416-393-7657,43.6886300,-79.3924200,true,NL,40171,12,Toronto-St. Paul?s,Rosedale-Moore Park,1952,true,false,false,Mon 9 a.m. to 8:30 p.m.; Tue 9 a.m. to 8:30 p.m.; Wed 9 a.m. to 8:30 p.m; Thu 9 a.m. to 8:30 p.m.; Fri 9 a.m. to 5 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_dr,31,DR,Dawes Road,Dawes Road,"416 Dawes Road, Toronto, ON, M4B 2E8",M4B 2E8,https://www.tpl.ca/dawesroad,416-396-3820,43.7016900,-79.2969600,true,NL,6740,19,Beaches-East York,O`Connor Parkview,1976,false,false,false,Closed,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_ds,32,DS,Departmental Staff,Departmental Staff,,,,,,,false,OT,,,,,,false,false,false,Non-Branch Row,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_dt,33,DT,Davenport,Davenport,"1246 Shaw Street, Toronto, ON, M6G 3P1",M6G 3P1,https://www.tpl.ca/davenport,416-396-3820,43.6745800,-79.4283900,true,NL,3604,12,Toronto-St. Paul?s,Wychwood,1988,true,false,false,Mon Closed; Tue 12:30 p.m. to 8:30 p.m.; Wed 10 a.m. to 6 p.m.; Thu 12:30 p.m. to 8:30 p.m.; Fri 10 a.m. to 6 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_du,34,DU,Dufferin/St. Clair,Dufferin/St. Clair,"1625 Dufferin Street, Toronto, ON, M6H 3L9",M6H 3L9,https://www.tpl.ca/dufferinstclair,416-393-7712,43.6770100,-79.4424100,true,NL,11208,9,Davenport,Corso Italia-Davenport,1921,true,false,true,Mon 10 a.m. to 8:30 p.m.; Tue 12:30 p.m. to 8:30 p.m.; Wed 10 a.m. to 6 p.m.; Thu 12:30 p.m. to 8:30 p.m.; Fri 10 a.m. to 6 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_ea,35,EA,Eatonville,Eatonville,"430 Burnhamthorpe Road, Toronto, ON, M9B 2B1",M9B 2B1,https://www.tpl.ca/eatonville,416-394-5270,43.6461600,-79.5591000,true,NL,12203,2,Etobicoke Centre,Islington,1964,true,false,false,Mon 9 a.m. to 8:30 p.m.; Tue 9 a.m. to 8:30 p.m.; Wed 9 a.m. to 8:30 p.m.; Thu 9 a.m. to 8:30 p.m.; Fri 9 a.m. to 8:30 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_eb,36,EB,Elmbrook Park,Elmbrook Park,"2 Elmbrook Crescent, Toronto, ON, M9C 5B4",M9C 5B4,https://www.tpl.ca/elmbrookpark,416-394-5290,43.6601400,-79.5839100,true,NL,3600,2,Etobicoke Centre,Eringate-Centennial-West Deane,1988,true,false,false,Mon Closed; Tue 10 a.m. to 6 p.m.; Wed 12:30 p.m. to 8:30 p.m.; Thu 12:30 p.m. to 8:30 p.m.; Fri 10 a.m. to 6 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_eg,37,EG,Evelyn Gregory,Evelyn Gregory,"120 Trowell Avenue, Toronto, ON, M6M 1L7",M6M 1L7,https://www.tpl.ca/evelyngregory,416-394-1006,43.6863100,-79.4723300,true,NL,6200,5,York South-Weston,Keelesdale-Eglinton West,1968,true,false,false,Mon 10 a.m. to 8:30 p.m.; Tue 12:30 p.m. to 8:30 p.m.; Wed 10 a.m. to 6 p.m.; Thu 12:30 p.m. to 8:30 p.m.; Fri 10 a.m. to 6 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_en,38,EN,Ethennonnhawahstihnen' (formely Bayview),Ethennonnhawahstihnen' (formely Bayview),"100 Ethennonnhawahstihnen' Lane, Toronto, ON  M2K 3C9",M2K 3C9,https://www.tpl.ca/ethennonnhawahstihnen,416-395-5460,43.7687400,-79.3757200,true,NL,13418,17,Don Valley North,Bayview Village,2023,true,false,true,Mon 9 a.m. to 8:30 p.m.; Tue 9 a.m. to 8:30 p.m.; Wed 9 a.m. to 8:30 p.m.; Thu 9 a.m. to 8:30 p.m.; Fri 9 a.m. to 5 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_es,39,ES,Eglinton Square,Eglinton Square,"Eglinton Square Shopping Centre, 1 Eglinton Square, Unit 126, Toronto, ON, M1L 2K1",M1L 2K1,https://www.tpl.ca/eglintonsquare,416-396-8920,43.7235800,-79.3016600,true,NL,10000,20,Scarborough Southwest,Clairlea-Birchmount,1965,false,false,false,Mon 9 a.m. to 8:30 p.m.; Tue 9 a.m. to 8:30 p.m.; Wed 9 a.m. to 8:30 p.m.; Thu 9 a.m. to 8:30 p.m.; Fri 9 a.m. to 5 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_fh,40,FH,Forest Hill,Forest Hill,"700 Eglinton Avenue West, Toronto, ON, M5N 1B9",M5N 1B9,https://www.tpl.ca/foresthill,416-393-7706,43.7023300,-79.4207300,true,NL,10399,8,Eglinton-Lawrence,Forest Hill North,1962,false,false,false,Mon 9 a.m. to 8:30 p.m.; Tue 9 a.m. to 8:30 p.m.; Wed 9 a.m. to 8:30 p.m.; Thu 9 a.m. to 8:30 p.m.; Fri 9 a.m. to 5 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_fo,41,FO,Fort York,Fort York,"190 Fort York Boulevard, Toronto, ON M5V 0E7",M5V 0E7,https://www.tpl.ca/fortyork,416-393-6240,43.6392300,-79.4003900,true,NL,16008,10,Spadina-Fort York,Harbourfront-CityPlace,2014,true,true,false,Mon 9 a.m. to 8:30 p.m.; Tue 9 a.m. to 8:30 p.m.; Wed 9 a.m. to 8:30 p.m.; Thu 9 a.m. to 8:30 p.m.; Fri 9 a.m. to 5 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_fp,42,FP,Flemingdon Park,Flemingdon Park,"29 St. Dennis Drive, Toronto, ON, M3C 3J3",M3C 3J3,https://www.tpl.ca/flemingdonpark,416-395-5820,43.7180000,-79.3316900,true,NL,7250,16,Don Valley East,Flemingdon Park,1981,false,false,false,Closed,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_fv,43,FV,Fairview,Fairview,"35 Fairview Mall Drive, Toronto, ON, M2J 4S4",M2J 4S4,https://www.tpl.ca/fairview,416-395-5750,43.7790900,-79.3467400,true,DL,79458,17,Don Valley North,Don Valley Village,1976,true,true,true,Mon 9 a.m. to 8:30 p.m.; Tue 9 a.m. to 8:30 p.m.; Wed 9 a.m. to 8:30 p.m.; Thu 9 a.m. to 8:30 p.m.; Fri 9 a.m. to 8:30 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_ge,44,GE,Gerrard/Ashdale,Gerrard/Ashdale,"1432 Gerrard Street East, Toronto, ON, M4L 1Z6",M4L 1Z6,https://www.tpl.ca/gerrardashdale,416-393-7717,43.6724500,-79.3220400,true,NL,9852,14,Toronto-Danforth,Greenwood-Coxwell,1924,true,false,false,Mon 10 a.m. to 8:30 p.m.; Tue 12:30 p.m. to 8:30 p.m.; Wed 10 a.m. to 6 p.m.; Thu 12:30 p.m. to 8:30 p.m.; Fri 10 a.m. to 6 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_ghp,45,GHP,Goldhawk Park,Goldhawk Park,"295 Alton Towers Circle, Toronto, ON, M1V 4P1",M1V 4P1,https://www.tpl.ca/goldhawkpark,416-396-8964,43.8240400,-79.2779900,true,NL,11200,23,Scarborough North,Milliken,1992,true,false,false,Mon 9 a.m. to 8:30 p.m.; Tue 9 a.m. to 8:30 p.m.; Wed 9 a.m. to 8:30 p.m.; Thu 9 a.m. to 8:30 p.m.; Fri 9 a.m. to 5 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_gw,46,GW,Guildwood,Guildwood,"Guildwood Plaza, 123 Guildwood Parkway, Toronto, ON, M1E 4V2",M1E 4V2,https://www.tpl.ca/guildwood,416-396-8872,43.7470400,-79.1995400,true,NL,4577,24,Scarborough-Guildwood,Guildwood,1974,true,false,false,Mon Closed; Tue 12:30 p.m. to 8:30 p.m.; Wed 10 a.m. to 6 p.m.; Thu 12:30 p.m. to 8:30 p.m.; Fri 10 a.m. to 6 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_hb,47,HB,Humber Bay,Humber Bay,"200 Park Lawn Road, Toronto, ON, M8Y 3J1",M8Y 3J1,https://www.tpl.ca/humberbay,416-394-5300,43.6303200,-79.4912400,true,NL,2400,3,Etobicoke-Lakeshore,Stonegate-Queensway,1951,true,false,false,Mon Closed; Tue 10 a.m. to 6 p.m.; Wed 12:30 p.m. to 8:30 p.m.; Thu 12:30 p.m. to 8:30 p.m.; Fri 10 a.m. to 6 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
toronto,toronto_tpl_hc,48,HC,Highland Creek,Highland Creek,"3550 Ellesmere Road, Toronto, ON, M1C 3Z2",M1C 3Z2,https://www.tpl.ca/highlandcreek,416-396-8876,43.7900300,-79.1751600,true,NL,7000,25,Scarborough-Rouge Park,Highland Creek,1994,true,false,false,Mon Closed; Tue 12:30 p.m. to 8:30 p.m.; Wed 10 a.m. to 6 p.m.; Thu 12:30 p.m. to 8:30 p.m.; Fri 10 a.m. to 6 p.m.; Sat 9 a.m. to 5 p.m.; Sun 12 p.m. to 5 p.m.,Official Toronto Open Data Library Branch General Information feed.
